GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  D2O-1mm 
Start: 27-Oct-25  00:17:48   End: 27-Oct-25  01:17:48 
  
Foreground:  72122 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background:  72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam:  72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.93681 +/- 0.0011573  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72152/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 2 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 174340 
Total Monitor Counts: 39993487 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72122 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000919404	52.3543	5.49652	0.000270882
0.00106635	26.9129	3.07203	0.000271626
0.00120379	17.6405	1.65767	0.000272378
0.00134115	11.6283	1.16347	0.00027326
0.0014783	7.48618	0.922114	0.000274216
0.00161805	6.6619	0.776505	0.000275254
0.00175817	5.0908	0.629741	0.000276439
0.00190041	3.91029	0.527917	0.000277694
0.00204233	3.19605	0.479033	0.000279056
0.00218479	2.99534	0.425149	0.000280515
0.00232687	2.21615	0.388222	0.00028203
0.00247001	1.9085	0.335273	0.000283694
0.00261547	1.5409	0.32456	0.000285428
0.0027612	1.14817	0.277636	0.000288058
0.00290767	0.723764	0.27519	0.000289989
0.0030551	0.762484	0.263077	0.000292032
0.00320283	0.555858	0.250921	0.000294161
0.0033513	0.600488	0.21769	0.000296553
0.00350174	0.489133	0.194638	0.000298774
0.00365338	0.415024	0.200817	0.000301397
0.00380343	0.596007	0.182828	0.000303802
0.00395677	0.532476	0.175503	0.000306664
0.00411096	0.321398	0.174182	0.000309452
0.00426562	0.199188	0.164542	0.00031265
0.00442304	0.0744025	0.156166	0.000315244
0.00458171	0.0849962	0.154123	0.000318524
0.00474027	0.202632	0.140181	0.000321783
0.00490004	0.234237	0.150409	0.000324974
0.00506249	0.225344	0.140635	0.000328011
0.00522578	0.172326	0.14402	0.000331773
0.00539209	0.0674497	0.143041	0.00033531
0.00555831	0.0847636	0.131511	0.00033943
0.00572445	0.0699103	0.128973	0.000343449
0.00589549	0.125353	0.125916	0.000347512
0.00606752	0.123223	0.12919	0.000351205
0.00623945	0.0565056	0.12537	0.000355298
0.00641549	0.00802593	0.113554	0.000359477
0.0065932	0.0203028	0.112792	0.000363641
0.00677123	0.0737072	0.109927	0.000368081
0.00695286	0.0922469	0.104465	0.000372839
0.00713629	0.0117187	0.10522	0.000377264
0.00732118	0.029515	0.105578	0.000382178
0.00750945	0.0839094	0.0984083	0.000387111
0.00769799	-0.0973668	0.100968	0.000392632
0.00788895	-0.0601732	0.0966016	0.000397993
0.00808401	-0.0112736	0.0950134	0.000403386
0.00828156	0.0419599	0.0941191	0.000408327
0.00847982	0.0474144	0.089115	0.000414064
0.00868076	-0.161027	0.0914314	0.000419689
0.00888667	-0.0167367	0.0889624	0.000425358
0.00909174	0.044755	0.0879778	0.000431338
0.00930067	-0.0471636	0.0909204	0.000438089
0.00951383	-0.0850249	0.0897969	0.00044423
0.00972924	0.0101332	0.0831109	0.000450527
0.00994634	-0.0194285	0.0836334	0.000456668
0.0101661	-0.085822	0.0791237	0.000463353
