GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  D2O-2mm 
Start: 27-Oct-25  04:18:12   End: 27-Oct-25  05:18:12 
  
Foreground:  72126 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.87729 +/- 0.001106  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72156/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 17 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 112835 
Total Monitor Counts: 29685985 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72126 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000919404	0.800051	2.89581	0.000270882
0.00106635	-1.29363	1.61321	0.000271626
0.00120379	0.8948	0.877126	0.000272378
0.00134115	0.743545	0.614405	0.00027326
0.0014783	0.335341	0.486933	0.000274216
0.00161805	-0.00345856	0.404172	0.000275254
0.00175817	-0.288991	0.324429	0.000276439
0.00190041	0.0818738	0.274745	0.000277694
0.00204233	0.189599	0.249932	0.000279056
0.00218479	-0.121063	0.217409	0.000280515
0.00232687	0.125502	0.201892	0.00028203
0.00247001	0.102608	0.174108	0.000283694
0.00261547	-0.0499557	0.16739	0.000285428
0.0027612	-0.0522379	0.143775	0.000288058
0.00290767	-0.0267587	0.144338	0.000289989
0.0030551	-0.058366	0.136979	0.000292032
0.00320283	0.0608553	0.132371	0.000294161
0.0033513	0.0334562	0.11431	0.000296553
0.00350174	0.0503343	0.102711	0.000298774
0.00365338	0.060227	0.106157	0.000301397
0.00380343	0.172933	0.097047	0.000303802
0.00395677	0.211883	0.0938117	0.000306664
0.00411096	0.0589857	0.0920642	0.000309452
0.00426562	0.123861	0.0882752	0.00031265
0.00442304	0.073002	0.0838175	0.000315244
0.00458171	0.052797	0.0823462	0.000318524
0.00474027	0.0949191	0.0749714	0.000321783
0.00490004	0.080632	0.0798295	0.000324974
0.00506249	0.0769679	0.0746573	0.000328011
0.00522578	0.00582657	0.0758991	0.000331773
0.00539209	0.0495259	0.0760934	0.00033531
0.00555831	0.0327373	0.0699427	0.00033943
0.00572445	0.0871196	0.0690545	0.000343449
0.00589549	0.119517	0.0674815	0.000347512
0.00606752	0.0447659	0.0684876	0.000351205
0.00623945	0.0939987	0.0671075	0.000355298
0.00641549	0.0339701	0.0606051	0.000359477
0.0065932	0.0722731	0.0605217	0.000363641
0.00677123	0.0911316	0.0589156	0.000368081
0.00695286	0.0688605	0.0557357	0.000372839
0.00713629	0.08511	0.0565605	0.000377264
0.00732118	0.049549	0.0562853	0.000382178
0.00750945	0.137024	0.053086	0.000387111
0.00769799	0.0421387	0.0542602	0.000392632
0.00788895	0.0515232	0.0518979	0.000397993
0.00808401	0.0238618	0.050596	0.000403386
0.00828156	0.0738051	0.0503306	0.000408327
0.00847982	0.10905	0.0479702	0.000414064
0.00868076	0.0167661	0.0490673	0.000419689
0.00888667	0.0626222	0.0476426	0.000425358
0.00909174	0.100865	0.0472396	0.000431338
0.00930067	0.0157084	0.0483988	0.000438089
0.00951383	0.0449566	0.0480741	0.00044423
0.00972924	0.0598338	0.0444425	0.000450527
0.00994634	0.0508052	0.0447297	0.000456668
