GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  NIPAM-567-6-0p625pc 
Start: 27-Oct-25  12:03:41   End: 27-Oct-25  13:03:42 
  
Foreground:  72160 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.86637 +/- 0.0014016  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72155/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 20 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 327096 
Total Monitor Counts: 29594463 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72160 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000919404	33.8284	3.13155	0.000270882
0.00106635	33.8412	1.84198	0.000271626
0.00120379	32.3435	1.0553	0.000272378
0.00134115	33.2383	0.80608	0.00027326
0.0014783	30.0103	0.668438	0.000274216
0.00161805	28.8682	0.592513	0.000275254
0.00175817	27.7991	0.51964	0.000276439
0.00190041	26.2462	0.463431	0.000277694
0.00204233	25.3311	0.434827	0.000279056
0.00218479	23.9498	0.39678	0.000280515
0.00232687	22.6272	0.374284	0.00028203
0.00247001	21.5263	0.340298	0.000283694
0.00261547	20.0635	0.322221	0.000285428
0.0027612	19.1347	0.29807	0.000288058
0.00290767	17.6005	0.2823	0.000289989
0.0030551	16.8804	0.269219	0.000292032
0.00320283	16.2073	0.257515	0.000294161
0.0033513	14.8442	0.234249	0.000296553
0.00350174	14.512	0.215882	0.000298774
0.00365338	13.1898	0.205808	0.000301397
0.00380343	12.6184	0.19457	0.000303802
0.00395677	11.517	0.181133	0.000306664
0.00411096	10.7518	0.172734	0.000309452
0.00426562	9.95613	0.161705	0.00031265
0.00442304	9.17226	0.15362	0.000315244
0.00458171	8.59868	0.146134	0.000318524
0.00474027	8.03807	0.136384	0.000321783
0.00490004	7.45459	0.133911	0.000324974
0.00506249	6.81531	0.126405	0.000328011
0.00522578	6.283	0.121017	0.000331773
0.00539209	5.97845	0.11812	0.00033531
0.00555831	5.4939	0.111776	0.00033943
0.00572445	5.15853	0.106314	0.000343449
0.00589549	4.6974	0.100381	0.000347512
0.00606752	4.21296	0.0988519	0.000351205
0.00623945	4.07263	0.095483	0.000355298
0.00641549	3.71504	0.0878925	0.000359477
0.0065932	3.45676	0.0859173	0.000363641
0.00677123	3.21189	0.0821381	0.000368081
0.00695286	3.00209	0.0772013	0.000372839
0.00713629	2.76548	0.0763904	0.000377264
0.00732118	2.63108	0.0745154	0.000382178
0.00750945	2.41917	0.0694842	0.000387111
0.00769799	2.24397	0.0700158	0.000392632
0.00788895	2.04261	0.0659366	0.000397993
0.00808401	1.90702	0.0636135	0.000403386
0.00828156	1.76141	0.0621832	0.000408327
0.00847982	1.78169	0.0596696	0.000414064
0.00868076	1.51555	0.0590587	0.000419689
0.00888667	1.51346	0.0575338	0.000425358
0.00909174	1.47037	0.0566083	0.000431338
0.00930067	1.27265	0.0569465	0.000438089
0.00951383	1.16362	0.0552228	0.00044423
0.00972924	1.1986	0.0519269	0.000450527
0.00994634	1.09859	0.0514636	0.000456668
0.0101661	1.03946	0.0489416	0.000463353
0.0103882	1.07697	0.0507369	0.000469776
0.0106164	0.970754	0.0481437	0.000476717
0.010846	0.898666	0.0460994	0.000483749
0.0110799	0.867472	0.0461769	0.000491459
0.0113153	0.725481	0.0449833	0.000498852
0.0116902	0.779832	0.0300372	0.000526851
0.0120686	0.683559	0.0421691	0.00052244
0.0123198	0.654975	0.0412	0.000530566
0.0125726	0.633332	0.0392065	0.000538314
0.0128304	0.632567	0.0379767	0.000546722
0.0130907	0.571131	0.040482	0.000555247
0.0133582	0.526407	0.0386217	0.000564047
0.0136226	0.547267	0.0394435	0.000572801
0.0138967	0.481981	0.0423891	0.000581914
0.0141721	0.484868	0.0483952	0.000591096
0.0144541	0.465064	0.0481444	0.00060007
0.0147374	0.438481	0.0524287	0.000609578
0.0151321	0.409851	0.0459844	0.000637516
0.0155697	0.406061	0.0638497	0.000639553
0.015972	0.429833	0.0501684	0.000668427
0.016539	0.398232	0.0311433	0.000693973
0.0170983	0.342106	0.00674387	0.00071407
0.0176553	0.322568	0.00640115	0.000732112
0.01822	0.297029	0.00617953	0.000750623
0.0187841	0.278449	0.00586267	0.00076911
0.0193574	0.274898	0.00563173	0.00078806
0.0199374	0.25156	0.00539185	0.000807403
0.0205161	0.247381	0.00526344	0.000826719
0.0211039	0.230298	0.00493752	0.00084812
0.021696	0.218074	0.00478248	0.00086691
0.0222951	0.204042	0.00459607	0.000887705
0.0229058	0.201838	0.00443334	0.000909332
0.0235229	0.193355	0.00427448	0.000931596
0.0241472	0.181271	0.00410102	0.000953312
0.0247786	0.173899	0.0039135	0.000974313
0.0254182	0.166018	0.00382604	0.000997077
0.0260563	0.162423	0.00368923	0.00102077
0.0267066	0.153553	0.00353413	0.001043
0.0273657	0.153427	0.00347143	0.00106596
0.0280354	0.146647	0.00331975	0.00108896
0.0287125	0.134576	0.00322715	0.00111519
0.0293919	0.136423	0.00313944	0.00113766
0.0300851	0.134756	0.00303541	0.00116293
0.0307904	0.128754	0.00293105	0.00118933
0.0315013	0.129629	0.00294275	0.00121333
0.0322197	0.121201	0.00278525	0.00123932
0.0329533	0.116835	0.00271686	0.00126582
0.0336884	0.116626	0.00266138	0.00129332
0.0344376	0.107768	0.00264601	0.00132044
0.0351964	0.11051	0.00263831	0.00134542
0.0359738	0.10684	0.00256611	0.00137483
0.036749	0.106447	0.00245934	0.00140122
0.0375375	0.104966	0.00239805	0.00143114
0.0383408	0.1001	0.0023335	0.00145939
0.039152	0.102287	0.00231794	0.00148668
0.0399773	0.100361	0.00221917	0.00151906
0.0408186	0.0957549	0.00215805	0.00154802
0.0416654	0.0996858	0.00216492	0.00157921
0.0425253	0.094235	0.00207785	0.00161094
0.0433983	0.0916666	0.00203684	0.00164311
0.0442841	0.0920047	0.00197831	0.00167578
0.0451878	0.0892422	0.00195428	0.00170723
0.0460934	0.0840367	0.00188929	0.00174065
0.0470192	0.0853213	0.00183705	0.00177481
0.0479629	0.0839015	0.00182429	0.00180965
0.048911	0.0833408	0.00184024	0.00184086
0.0498802	0.0792398	0.00184174	0.00187659
0.0508617	0.0779428	0.00181542	0.0019128
0.051858	0.0798408	0.00186431	0.00194956
0.0528725	0.0748926	0.00189873	0.00198701
0.0538882	0.072227	0.00196788	0.00202452
0.0549278	0.0713777	0.00205808	0.0020629
0.0559881	0.0745366	0.00219428	0.00210209
0.0570636	0.0679452	0.00239483	0.00214182
0.0581525	0.0694759	0.00263064	0.00218458
0.0592586	0.0610731	0.00287111	0.00222553
0.0603894	0.063388	0.00325738	0.00227237
0.0615324	0.0652441	0.00352539	0.00232745
0.0635519	0.0622829	0.00246537	0.00258679
0.0670047	0.0615212	0.000400372	0.00277798
0.0701705	0.0598481	0.000143901	0.00288806
0.0733291	0.0574621	0.00013571	0.00299157
0.0765932	0.0554511	0.000128406	0.00310038
0.0798794	0.0538736	0.000124881	0.0032098
0.0831679	0.0522789	0.000120007	0.00332113
0.0864969	0.0510812	0.000115498	0.00343317
0.0898466	0.0501619	0.000112617	0.00354814
0.0931894	0.0490028	0.000109268	0.00366165
0.096587	0.0481534	0.000105039	0.00377947
0.100033	0.0475296	0.000102297	0.00389819
0.103498	0.0468573	9.94226e-05	0.00401837
0.106997	0.0464499	9.72004e-05	0.00414052
0.110521	0.0457896	9.43445e-05	0.00428952
0.114072	0.0455677	9.24113e-05	0.00441361
0.117659	0.0452695	9.03041e-05	0.00451948
0.12131	0.0450576	8.75247e-05	0.00464738
0.124981	0.0449312	8.67366e-05	0.00477704
0.128654	0.0448032	8.48457e-05	0.00490712
0.132356	0.0446025	8.33496e-05	0.00503801
0.136114	0.044545	8.12637e-05	0.00517079
0.139886	0.0446296	8.07768e-05	0.00530538
0.143726	0.0442823	7.78342e-05	0.00544229
0.14763	0.0442093	7.68375e-05	0.00560396
0.151571	0.0441488	7.49773e-05	0.00574398
0.155564	0.044152	7.41819e-05	0.005886
0.159561	0.044088	7.30331e-05	0.00602839
0.163604	0.044131	7.15493e-05	0.00617308
0.167716	0.0440911	6.97541e-05	0.00632029
0.171871	0.044111	6.89691e-05	0.0064692
0.176061	0.0440628	6.75614e-05	0.00661947
0.180358	0.0441642	6.54392e-05	0.00679401
0.184689	0.0440426	6.49241e-05	0.0069491
0.189033	0.0440924	6.376e-05	0.00710483
0.193461	0.0441863	6.2045e-05	0.00726362
0.197942	0.0440505	6.12531e-05	0.0074249
0.202473	0.0442531	5.99981e-05	0.00758808
0.207023	0.0440834	5.93076e-05	0.00775202
0.211685	0.0442159	6.20282e-05	0.00793882
0.216388	0.0442224	6.26301e-05	0.00810927
0.221186	0.0442321	6.34694e-05	0.00828891
0.226035	0.0441281	6.11909e-05	0.00847046
0.230988	0.0441837	5.96424e-05	0.00863613
0.235952	0.0440893	5.68471e-05	0.00882155
0.240977	0.0441499	5.5047e-05	0.00899892
0.246089	0.0440648	5.33148e-05	0.00918968
0.251271	0.0440673	5.20661e-05	0.00938303
0.256516	0.0439817	5.07256e-05	0.00957876
0.261857	0.0439699	4.94638e-05	0.00977802
0.267298	0.0439874	4.82591e-05	0.00998102
0.272801	0.0439498	4.74737e-05	0.0101863
0.278373	0.0439566	4.62729e-05	0.0103942
0.284019	0.0439732	4.55065e-05	0.0105947
0.289691	0.0439901	4.55013e-05	0.0108061
0.295526	0.0439575	4.6057e-05	0.0110237
0.301428	0.0439132	4.61473e-05	0.0112437
0.307396	0.0439481	4.6316e-05	0.0114419
0.313473	0.043982	4.59729e-05	0.0116679
0.319665	0.043994	4.59269e-05	0.0118983
0.325901	0.0441008	4.77681e-05	0.0121303
0.332113	0.0440826	5.26206e-05	0.0123519
0.338631	0.0441008	6.14547e-05	0.0125943
0.345174	0.0442531	6.89425e-05	0.0128376
0.351819	0.0442556	7.90507e-05	0.0130846
