GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  PEG-PNIPAM-596-24-0p625 
Start: 28-Oct-25  04:48:33   End: 28-Oct-25  05:48:33 
  
Foreground:  72237 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.87441 +/- 0.0014096  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72224/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 39 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 655787 
Total Monitor Counts: 29627447 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72237 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000919404	71.1992	3.3585	0.000270882
0.00106635	75.8943	2.07134	0.000271626
0.00120379	70.8218	1.23296	0.000272378
0.00134115	67.4296	0.963025	0.00027326
0.0014783	65.7134	0.832306	0.000274216
0.00161805	64.5353	0.760066	0.000275254
0.00175817	63.8665	0.691236	0.000276439
0.00190041	61.0966	0.630247	0.000277694
0.00204233	58.435	0.594068	0.000279056
0.00218479	56.1548	0.549977	0.000280515
0.00232687	53.8531	0.525227	0.00028203
0.00247001	52.1216	0.485947	0.000283694
0.00261547	49.3503	0.46103	0.000285428
0.0027612	47.2189	0.432703	0.000288058
0.00290767	44.9013	0.411645	0.000289989
0.0030551	42.17	0.389102	0.000292032
0.00320283	40.7343	0.373079	0.000294161
0.0033513	38.3084	0.346508	0.000296553
0.00350174	36.4471	0.317052	0.000298774
0.00365338	33.9539	0.301378	0.000301397
0.00380343	32.7154	0.288303	0.000303802
0.00395677	30.7882	0.270523	0.000306664
0.00411096	28.6817	0.255272	0.000309452
0.00426562	27.4269	0.241644	0.00031265
0.00442304	25.0242	0.228267	0.000315244
0.00458171	23.605	0.215821	0.000318524
0.00474027	22.1834	0.203472	0.000321783
0.00490004	20.5448	0.195121	0.000324974
0.00506249	19.38	0.187233	0.000328011
0.00522578	17.9982	0.175985	0.000331773
0.00539209	16.6883	0.168445	0.00033531
0.00555831	15.6446	0.162291	0.00033943
0.00572445	14.8269	0.153169	0.000343449
0.00589549	13.3664	0.142425	0.000347512
0.00606752	12.4321	0.139814	0.000351205
0.00623945	11.5889	0.132631	0.000355298
0.00641549	10.8675	0.124172	0.000359477
0.0065932	9.8942	0.119434	0.000363641
0.00677123	9.24457	0.113535	0.000368081
0.00695286	8.34668	0.10492	0.000372839
0.00713629	7.82223	0.103146	0.000377264
0.00732118	7.17203	0.097952	0.000382178
0.00750945	6.73753	0.0922899	0.000387111
0.00769799	6.15811	0.0908033	0.000392632
0.00788895	5.54846	0.0845098	0.000397993
0.00808401	5.04497	0.0800392	0.000403386
0.00828156	4.63538	0.0776988	0.000408327
0.00847982	4.32185	0.073312	0.000414064
0.00868076	3.97901	0.0719112	0.000419689
0.00888667	3.69063	0.0690926	0.000425358
0.00909174	3.32137	0.0665794	0.000431338
0.00930067	3.0518	0.0665871	0.000438089
0.00951383	2.70997	0.0631761	0.00044423
0.00972924	2.58762	0.0592618	0.000450527
0.00994634	2.29271	0.0576679	0.000456668
0.0101661	2.14068	0.0546801	0.000463353
0.0103882	1.85896	0.0544801	0.000469776
0.0106164	1.66649	0.0514759	0.000476717
0.010846	1.57575	0.0494088	0.000483749
